iter	Passed	Remaining
401	9865	2405
402	9882	2378
403	9909	2354
404	9927	2328
405	9955	2305
406	9968	2277
407	9984	2251
408	10010	2227
409	10030	2201
410	10050	2176
411	10073	2151
412	10094	2126
413	10114	2101
414	10132	2075
415	10159	2051
416	10174	2025
417	10205	2002
418	10224	1976
419	10249	1952
420	10263	1925
421	10277	1899
422	10303	1875
423	10315	1848
424	10339	1824
425	10352	1798
426	10363	1771
427	10387	1747
428	10404	1721
429	10421	1696
430	10442	1671
431	10464	1647
432	10478	1621
433	10508	1598
434	10524	1572
435	10552	1549
436	10568	1523
437	10584	1498
438	10606	1473
439	10628	1449
440	10646	1424
441	10659	1398
442	10676	1373
443	10692	1348
444	10717	1324
445	10742	1300
446	10761	1275
447	10774	1250
448	10801	1226
449	10815	1201
450	10842	1178
451	10858	1153
452	10872	1128
453	10899	1104
454	10912	1079
455	10925	1054
456	10952	1030
457	10974	1006
458	10998	982
459	11016	957
460	11036	933
461	11055	909
462	11069	884
463	11098	861
464	11114	836
465	11148	813
466	11163	788
467	11187	764
468	11204	740
469	11226	716
470	11252	692
471	11269	668
472	11297	644
473	11313	620
474	11325	596
475	11349	572
476	11363	547
477	11392	524
478	11409	500
479	11423	475
480	11448	452
481	11470	428
482	11486	404
483	11501	380
484	11522	356
485	11549	332
486	11566	308
487	11592	285
488	11608	261
489	11623	237
490	11646	213
491	11661	189
492	11687	165
493	11699	142
494	11714	118
495	11741	94
496	11759	70
497	11783	47
498	11801	23
499	11814	0
